"run_id","timestamp","backbone","pretrained","optimizer","learning_rate","batch_size","epochs","criterion","device","num_classes","train_size","val_size","total_params","trainable_params","augment","scheduler","weight_decay","early_stop","patience","min_delta","current_lr","freeze","loss","class_weight","best_val_acc","best_epoch","target_val_acc","epoch_to_threshold","stopped_epoch"
"20251128_012954_resnet18_bs32_lr0.001_optadam_ep15_batch32_augFalse_schcosine_wd0.0_esFalse","2025-11-28 01:44:33","resnet18","True","Adam","0.001","32","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","cosine","0.0","False","5","0.0","0.0","","ce","","0.5948275862068966","10","0.48","7",""
"20251128_014443_resnet18_bs32_lr0.001_optadam_ep15_batch32_augFalse_schplateau_wd0.0_esFalse","2025-11-28 01:59:16","resnet18","True","Adam","0.001","32","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","plateau","0.0","False","5","0.0","0.0001","","ce","","0.5646551724137931","15","0.48","7",""
"20251128_015926_resnet18_bs32_lr0.001_optadam_ep15_batch32_augFalse_schnone_wd0.0_esTrue","2025-11-28 02:12:06","resnet18","True","Adam","0.001","32","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0","True","5","0.0","0.001","","ce","","0.5129310344827586","8","0.48","7","13"
"20251128_021216_resnet18_bs32_lr0.001_optadam_ep15_batch32_augFalse_schnone_wd0.0001_esFalse","2025-11-28 02:27:01","resnet18","True","Adam","0.001","32","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0001","False","5","0.0","0.001","","ce","","0.5043103448275862","11","0.48","11",""
"20251128_022712_resnet18_bs32_lr0.001_optadam_ep15_batch32_augFalse_schnone_wd0.0005_esFalse","2025-11-28 02:41:50","resnet18","True","Adam","0.001","32","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0005","False","5","0.0","0.001","","ce","","0.4439655172413793","9","0.48","",""
"20251128_130837_resnet18_bs32_lr0.001_optadam_ep15_batch32_augFalse_schnone_wd0.0_esFalse_frzhead_lossce_cwFalse","2025-11-28 13:22:26","resnet18","True","Adam","0.001","32","15","CrossEntropyLoss","cuda","27","2256","232","11190363","13851","False","none","0.0","False","5","0.0","0.001","head","ce","False","0.5474137931034483","6","0.48","3",""
"20251128_132237_resnet18_bs32_lr0.001_optadam_ep15_batch32_augFalse_schnone_wd0.0_esFalse_frzpartial_lossce_cwFalse","2025-11-28 13:37:40","resnet18","True","Adam","0.001","32","15","CrossEntropyLoss","cuda","27","2256","232","11190363","8407579","False","none","0.0","False","5","0.0","0.001","partial","ce","False","0.5732758620689655","12","0.48","1",""
"20251128_133754_resnet18_bs32_lr0.001_optadam_ep15_batch32_augFalse_schnone_wd0.0_esFalse_frzfull_lossce_cwFalse","2025-11-28 13:53:54","resnet18","True","Adam","0.001","32","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0","False","5","0.0","0.001","full","ce","False","0.5172413793103449","15","0.48","12",""
"20251128_135407_resnet18_bs32_lr0.001_optadam_ep15_batch32_augFalse_schnone_wd0.0_esFalse_frzfull_lossfocal_cwFalse","2025-11-28 14:09:29","resnet18","True","Adam","0.001","32","15","FocalLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0","False","5","0.0","0.001","full","focal","False","0.47844827586206895","14","0.48","",""
"20251128_140940_resnet18_bs32_lr0.001_optadam_ep15_batch32_augFalse_schnone_wd0.0_esFalse_frzfull_lossce_cwTrue","2025-11-28 14:25:22","resnet18","True","Adam","0.001","32","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0","False","5","0.0","0.001","full","ce","True","0.5344827586206896","14","0.48","7",""
"20251128_142531_resnet18_bs32_lr0.001_optadam_ep15_batch32_augFalse_schnone_wd0.0_esFalse_frzfull_lossfocal_cwTrue","2025-11-28 14:39:36","resnet18","True","Adam","0.001","32","15","FocalLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0","False","5","0.0","0.001","full","focal","True","0.5603448275862069","13","0.48","10",""
